id	filename	md5	size	state
07652663-6c18-44bd-942c-9c5f021ce322	07652663-6c18-44bd-942c-9c5f021ce322/fd823c1f-7262-499b-9fea-59f328fe56d8.wxs.aliquot_ensemble_masked.maf.gz	a19e228af94f1bf1c5af8c7f4e8fe6c3	2759	validated
09892f86-3f63-4cab-bfc0-d97f338c83ea	09892f86-3f63-4cab-bfc0-d97f338c83ea/f6c915b7-a657-4307-9750-8bf4fa682adf.wxs.aliquot_ensemble_masked.maf.gz	2bf34db44e390cc697b98e894f81d270	25672	validated
104bc507-3033-4ab8-b51b-b53a6577cdb4	104bc507-3033-4ab8-b51b-b53a6577cdb4/a495fbe6-d511-4317-95fc-4745807c039a.wxs.aliquot_ensemble_masked.maf.gz	5377b0144ffcb14df591f61747c94229	21730	validated
140b0601-e3aa-428b-badf-8dc99597f6e2	140b0601-e3aa-428b-badf-8dc99597f6e2/91eb8459-3e1c-4139-ac9f-8193aa818354.wxs.aliquot_ensemble_masked.maf.gz	3147ade2098ffef9686d7c46bd0bbba2	23632	validated
176c9358-6e31-4f4b-b656-890f69f6482b	176c9358-6e31-4f4b-b656-890f69f6482b/f3a7f222-196d-416d-be86-f6020cf2ef2d.wxs.aliquot_ensemble_masked.maf.gz	b65bdd77831de5659641a7742788a53e	11866	validated
22b49a51-93b2-41b9-997a-c9ec90385f5e	22b49a51-93b2-41b9-997a-c9ec90385f5e/a0557c84-a6ff-4752-88ce-648ce54dc59e.wxs.aliquot_ensemble_masked.maf.gz	0f728409d837f16a02af136d873778b5	13106	validated
2bfce0a3-f705-4e80-8d0d-80f49109a8bd	2bfce0a3-f705-4e80-8d0d-80f49109a8bd/c507e08c-e37e-43b8-bad1-111724a99ecd.wxs.aliquot_ensemble_masked.maf.gz	a390d60668b8b8ae4bdfa0018794f261	19086	validated
2e800933-67c0-4b55-b970-83c0e0d6d74d	2e800933-67c0-4b55-b970-83c0e0d6d74d/a14281b1-273e-48db-8273-38e07a4503eb.wxs.aliquot_ensemble_masked.maf.gz	a73a01e679ef2c39a7a14ef00edaae82	29877	validated
2e9c2106-30cb-4fc4-a83e-e48c38232f47	2e9c2106-30cb-4fc4-a83e-e48c38232f47/61cc80ff-6d8e-4e64-b0df-3750ddf8a752.wxs.aliquot_ensemble_masked.maf.gz	5743330dd90330e90aef90c2faa46653	16572	validated
388fcd00-159a-411b-8239-a8b8fc53cd37	388fcd00-159a-411b-8239-a8b8fc53cd37/46ad9432-96b3-40ed-801b-21c9a3172c88.wxs.aliquot_ensemble_masked.maf.gz	fc9ae94fab024ef0889fe1ec03c4c21f	14539	validated
4185adf7-ea56-49bb-b766-99d0b7128a9f	4185adf7-ea56-49bb-b766-99d0b7128a9f/a3e1d8e7-6b0f-4520-bbcf-38ec8ea9db8e.wxs.aliquot_ensemble_masked.maf.gz	c3b56eb28745007cdaeb95d06122f4b9	14270	validated
42b937c9-906e-48bc-b523-bac39bfeefdf	42b937c9-906e-48bc-b523-bac39bfeefdf/5ff603b2-b67a-4b71-b0fb-687eaf937d55.wxs.aliquot_ensemble_masked.maf.gz	09dd492d66d2953d280bb334d7826143	14951	validated
43b231b5-a50f-40ff-b377-f6cba69c3125	43b231b5-a50f-40ff-b377-f6cba69c3125/6310a671-b2eb-4cd0-923c-c053f31aa39a.wxs.aliquot_ensemble_masked.maf.gz	22c421593bf4f39eb2df54552a6be89b	9037	validated
459549cd-9e53-4737-b8d3-648f1ad69884	459549cd-9e53-4737-b8d3-648f1ad69884/1164d6ca-0523-48b3-8a47-cfd0c9e6079e.wxs.aliquot_ensemble_masked.maf.gz	a8c614e44052be7ec461a7f7c9f94526	11743	validated
45c49fe1-91c3-4619-967b-5b3038c663a7	45c49fe1-91c3-4619-967b-5b3038c663a7/9632aa57-f8ee-4990-9893-2d011e0f9a8f.wxs.aliquot_ensemble_masked.maf.gz	2572a2134c2059c3ba1afcd3b4d695d2	10404	validated
